ALAMOSAgeneralNewsletter,"<p>This is Alamosa's&nbsp;<em>General</em>&nbsp;newsletter. We send out deals special offers upcoming events and news.</p>",5,1,1,163,alamosageneralnewsletter,#157D69,1,0,0,list,all,none,all,0,
test,,1,7,1,161,test,,1,,,campaign,all,none,all,0,
ALAMOSAmasterAutoReply,<p>This is Alamosa's Master auto reply list. Users are sent an auto reply and then automatically unsubscribed from this list.</p>,4,12,1,163,alamosamasterautoreply,#990099,0,95,0,list,all,none,all,0,
ALAMOSAvisitorsGuideRequest,<p>This is a list of people that have requested Alamosa's Visitor Guide.</p>,7,3,1,163,alamosavisitorguiderequest,#00FFFF,1,0,0,list,all,none,all,0,
3rd Party leads,,2,14,1,160,3rd-party-leads,,0,100,0,list,all,none,all,0,
ALAMOSAcontactUs,<p>This is Alamosa's contact us list. This is only for contact us inquiries.</p>,6,5,1,163,alamosacontactus,#3366ff,1,0,0,list,all,none,all,0,
Mar 2017 Survey Omit list,,3,16,1,2,mar-2017-survey-omit-list,#157D69,0,0,0,list,all,none,all,0,
Ride the Rockies 2017,,1,18,1,165,ridetherockies2017,#00ff00,1,0,0,list,all,none,all,0,
