180,97,1,154212,1485194642,74.215.79.161
177,97,1,154210,1485194899,68.206.15.30
177,97,1,154218,1485207334,24.247.68.118
172,97,1,154202,1485228234,66.87.151.175
166,95,1,154260,1485304582,75.39.130.234
289,95,1,154260,1485304965,75.39.130.234
289,95,1,154266,1485391217,24.116.97.45
165,95,2,146563,1486314411,207.98.193.26
172,97,1,154285,1485801671,87.183.192.158
173,97,1,154317,1485824537,96.60.161.26
172,97,1,154348,1485875966,47.203.72.234
171,97,1,154347,1485895528,75.1.176.231
170,95,1,154353,1485986445,24.136.166.140
168,95,2,154080,1486071556,76.69.194.69
171,97,1,154340,1485904450,67.173.244.188
289,95,3,154351,1485906650,67.45.114.33
165,95,2,154357,1485981740,64.22.253.234
166,95,1,154080,1485979858,76.69.194.69
169,95,1,154353,1485986348,24.136.166.140
179,97,1,154391,1486413782,68.109.146.103
172,97,1,154448,1486413817,50.73.122.185
182,97,1,154451,1486418310,166.137.143.50
174,97,1,154415,1486421132,66.103.170.214
172,97,1,154464,1486445864,73.78.215.52
172,97,2,154400,1486659829,159.238.225.173
174,97,2,154400,1486484695,159.238.225.173
65,97,1,154406,1486480139,209.63.122.44
182,97,2,154380,1486504940,209.54.3.156
179,97,1,154380,1486569524,209.54.3.156
289,95,1,154499,1486933184,96.35.73.82
451,123,1,32632,1488403481,74.143.226.250
449,123,1,129991,1489174546,184.173.211.17
171,97,1,154643,1487618785,209.160.113.179
451,123,3,107086,1488882493,71.162.145.210
451,123,1,54945,1488403492,68.98.59.73
451,123,1,17246,1488402730,65.30.164.106
451,123,1,18045,1488402880,129.118.92.174
451,123,1,22113,1488402889,69.146.69.58
451,123,1,27938,1488403007,63.86.155.34
451,123,1,18447,1488403062,184.157.85.73
451,123,2,30927,1488848166,75.166.113.174
171,97,1,154619,1487619251,98.204.202.128
176,97,1,154627,1487624026,75.135.42.213
171,97,1,154649,1487649865,75.89.14.202
172,97,1,154649,1487649949,75.89.14.202
174,97,1,154639,1487689998,166.137.136.56
174,97,1,154526,1487694458,74.96.98.10
171,97,1,154526,1487694752,74.96.98.10
173,97,1,154652,1487696109,108.223.237.92
166,95,1,154558,1487697064,70.44.167.104
197,97,1,154602,1487703600,78.195.23.4
166,95,1,154548,1487820064,73.228.31.70
166,95,1,154556,1487890062,67.161.252.24
171,97,1,154666,1487963936,23.122.212.172
170,95,1,154671,1487980701,107.72.164.96
168,95,1,130167,1487988411,104.188.178.33
165,95,1,130167,1487988417,104.188.178.33
451,123,1,47255,1488403118,168.208.215.217
451,123,1,3311,1488403161,62.167.136.146
429,123,1,25326,1488403213,40.77.167.67
451,123,1,24582,1488403232,166.137.125.116
465,126,1,3290,1490196699,4.79.123.0
174,97,1,154928,1488840983,73.6.99.140
172,97,1,154850,1488849128,104.58.185.112
451,123,1,132806,1488754258,206.168.43.181
429,123,2,146084,1489018489,108.35.112.242
429,123,1,47515,1488761631,157.55.39.239
451,123,1,148793,1488767819,47.188.181.145
451,123,1,2141,1488812806,75.117.108.126
451,123,1,133405,1488814691,66.117.213.186
451,123,1,59126,1488822051,75.244.223.134
451,123,1,132803,1488828725,69.146.6.162
451,123,1,124543,1488834119,73.242.193.36
447,123,18,127590,1492733172,10.192.100.214
166,95,2,154776,1488835901,66.213.181.163
451,123,1,150341,1488835973,108.77.63.79
169,95,2,154776,1488836508,66.213.181.163
177,97,1,150938,1488245980,174.59.188.172
172,97,1,154724,1488260391,74.105.94.186
451,123,3,1847,1489008534,174.24.101.190
429,123,1,14538,1488395485,71.40.193.74
451,123,1,13606,1488395625,97.76.132.163
197,123,1,5154,1488397002,70.210.142.181
451,123,1,13152,1488397282,66.139.154.32
451,123,1,25027,1488397771,173.188.107.158
451,123,1,24849,1488399828,216.156.107.26
451,123,1,25220,1488400238,161.97.140.51
451,123,1,29762,1488402111,207.199.220.164
451,123,1,11397,1488402112,107.72.164.126
451,123,1,17905,1488402531,174.209.10.121
429,123,1,38366,1488402720,159.45.186.43
429,123,1,113810,1488896610,66.117.202.106
451,123,1,32268,1488910195,50.27.150.234
429,123,1,154093,1488913848,136.62.57.149
448,123,1,111933,1488915453,10.64.19.238
428,123,1,154724,1488916647,74.105.94.186
429,123,1,145604,1488932935,65.34.187.245
451,123,1,150540,1488935485,50.80.34.232
450,123,1,83973,1488942711,216.74.253.243
165,95,1,154954,1488949261,67.0.243.8
451,123,1,148367,1488958405,108.52.117.84
173,97,1,147805,1488992884,174.61.145.104
178,97,1,147805,1488993048,174.61.145.104
451,123,1,15355,1488994576,65.128.81.249
166,95,4,129045,1499785639,65.19.61.187
451,123,1,146084,1489018473,96.234.119.132
451,123,1,143029,1489027990,97.127.159.76
451,123,1,126168,1489033030,69.67.110.198
451,123,1,70826,1489064064,166.137.106.194
289,95,1,154949,1489083888,108.39.42.148
178,97,1,154816,1489117929,24.243.23.12
429,123,1,51691,1489173364,96.59.44.91
451,123,1,129991,1489174545,184.173.226.128
429,123,1,129991,1489174545,184.173.211.16
326,123,1,129991,1489174545,184.173.226.131
428,123,1,129991,1489174545,184.173.226.129
328,123,1,129991,1489174545,184.173.211.16
447,123,1,129991,1489174545,184.173.211.19
448,123,1,129991,1489174545,184.173.211.18
172,97,1,155289,1490700085,70.211.73.229
482,127,1,56178,1490705867,199.157.236.76
462,126,1,13022,1490722805,70.182.170.89
463,126,1,13022,1490722877,70.182.170.89
482,127,1,96568,1490731053,99.155.178.205
466,126,1,108393,1490738798,98.127.237.6
464,126,2,108393,1490643519,98.127.237.6
462,126,1,30431,1490651966,208.46.65.2
